Lazy-Y,149577,27
Lazy-Y,2729,0
Lazy-Y,1436,0
Lazy-Y,287437,55
,686,0
Lazy-Y,76943,18
Sherryyy,175428,42
Sherryyy,315852,95
Lazy-Y,188926,41
Lazy-Y,8746,2
Lazy-Y,13319,1
,18168,3
Lazy-Y,319492,81
Lazy-Y,207,0
Lazy-Y,546217,162
sarah,20095,2
sarah,94547,13
Lazy-Y,3399,1
Lazy-Y,27370,5
Lazy-Y,702286,217
Sherry Zhou,107399,7
Lazy-Y,2345,0
sherryzsx,128620,6
sherryzsx,135133,14
Lazy-Y,474625,67
Lazy-Y,358252,59
Lazy-Y,223459,60
Lazy-Y,136296,23
Lazy-Y,22588,3
Lazy-Y,7338,0
Lazy-Y,64412,9
Lazy-Y,252680,33
Lazy-Y,60709,30
,13486,2
,1186,0
,25749,4
,13230,3
,1745,0
,54900,8
,675,0
,8266,1
,2115,0
,17194,3
,22930,3
,193986,25
,6637,1
,6406,1
,765,0
,9135,0
,104786,13
,58240,10
Lazy-Y,108675,16
,116929,38
Lazy-Y,16370,2
Lazy-Y,47935,2
,10850,1
,10276,1
,9462,0
,1415,0
,5814,0
,3495,1
,217418,21
Lazy-Y,2205,0
Lazy-Y,5130,1
Lazy-Y,965,0
,36385,6
Lazy-Y,361057,42
Lazy-Y,7026,0
Lazy-Y,55327,8
Lazy-Y,236578,24
Lazy-Y,380683,54
Lazy-Y,1835,0
Lazy-Y,252270,36
Sherry,188725,15
Sherry,279900,34
Lazy-Y,2645,0
Lazy-Y,735,0
,435,0
,475,0
,46,0
Lazy-Y,4375,1
Lazy-Y,2115,0
Lazy-Y,1015,0
Lazy-Y,482600,84
,265,0
Lazy-Y,12534,1
Lazy-Y,20432,3
